2025-02-16 21:09:15,239 Load: ./mats/VGON_nqd2_L4_20250216_195539.mat, 1000/1000
2025-02-16 21:09:15,239 PyTorch Device: cpu
2025-02-16 21:09:15,239 Number of layers: 4
2025-02-16 21:09:15,239 Number of qudits: 2
2025-02-16 21:09:15,239 Number of qubits: 4
2025-02-16 21:09:15,239 Coefficient phase: arctan(1/3)
2025-02-16 21:09:15,255 Ground State Energy: -0.6325
2025-02-16 21:09:15,564 Energy: -0.47611455, -0.53653904, -0.61031736, Gap: 9.5916e-02, 4<6, 1/1/100, 0.30
2025-02-16 21:09:16,211 Energy: -0.52897812, -0.55997723, -0.58278514, Gap: 7.2478e-02, 7/8, 1/100, 0.95
2025-02-16 21:09:16,509 Energy: -0.41994535, -0.53047493, -0.62215544, Gap: 1.0198e-01, 5<6, 1/2/100, 1.25
2025-02-16 21:09:17,090 Energy: -0.49280805, -0.57142165, -0.61498817, Gap: 6.1034e-02, 13/16, 2/100, 1.83
2025-02-16 21:09:17,750 Energy: -0.52998158, -0.57591489, -0.60212174, Gap: 5.6541e-02, 20/24, 3/100, 2.49
2025-02-16 21:09:18,342 Energy: -0.44359362, -0.56357594, -0.60121904, Gap: 6.8880e-02, 27/32, 4/100, 3.08
2025-02-16 21:09:18,933 Energy: -0.42406880, -0.55449167, -0.59650555, Gap: 7.7964e-02, 33/40, 5/100, 3.67
2025-02-16 21:09:19,593 Energy: -0.46377804, -0.55039105, -0.61618249, Gap: 8.2064e-02, 39/48, 6/100, 4.33
2025-02-16 21:09:19,902 Energy: -0.42615667, -0.53518785, -0.60786715, Gap: 9.7268e-02, 5<6, 1/7/100, 4.64
2025-02-16 21:09:20,208 Energy: -0.35155713, -0.51475683, -0.60175285, Gap: 1.1770e-01, 5<6, 2/7/100, 4.95
2025-02-16 21:09:20,509 Energy: -0.33059480, -0.53120920, -0.60548581, Gap: 1.0125e-01, 5<6, 3/7/100, 5.25
2025-02-16 21:09:21,199 Energy: -0.52352678, -0.56744184, -0.60108519, Gap: 6.5014e-02, 46/56, 7/100, 5.94
2025-02-16 21:09:21,794 Energy: -0.56295608, -0.57889944, -0.59811185, Gap: 5.3556e-02, 54/64, 8/100, 6.53
2025-02-16 21:09:22,104 Energy: -0.37884659, -0.53699590, -0.59653591, Gap: 9.5460e-02, 5<6, 1/9/100, 6.84
2025-02-16 21:09:22,779 Energy: -0.51604239, -0.56558593, -0.59685018, Gap: 6.6870e-02, 61/72, 9/100, 7.52
2025-02-16 21:09:23,081 Energy: -0.41553948, -0.53696731, -0.59884043, Gap: 9.5488e-02, 5<6, 1/10/100, 7.82
2025-02-16 21:09:23,688 Energy: -0.34305378, -0.52957262, -0.58583228, Gap: 1.0288e-01, 67/80, 10/100, 8.42
2025-02-16 21:09:24,357 Energy: -0.38293343, -0.54452966, -0.61307801, Gap: 8.7926e-02, 73/88, 11/100, 9.09
2025-02-16 21:09:24,655 Energy: -0.48871578, -0.54358055, -0.60956833, Gap: 8.8875e-02, 5<6, 1/12/100, 9.39
2025-02-16 21:09:24,964 Energy: -0.40322764, -0.53250686, -0.59825749, Gap: 9.9949e-02, 5<6, 2/12/100, 9.70
2025-02-16 21:09:25,264 Energy: -0.50824156, -0.55853910, -0.61020297, Gap: 7.3916e-02, 5<6, 3/12/100, 10.00
2025-02-16 21:09:25,917 Energy: -0.39740369, -0.55422966, -0.60779698, Gap: 7.8226e-02, 79/96, 12/100, 10.65
2025-02-16 21:09:26,498 Energy: -0.50979322, -0.56360195, -0.59937751, Gap: 6.8854e-02, 86/104, 13/100, 11.24
2025-02-16 21:09:27,083 Energy: -0.55066461, -0.56996094, -0.59441982, Gap: 6.2495e-02, 94/112, 14/100, 11.82
2025-02-16 21:09:27,762 Energy: -0.46870967, -0.56181105, -0.61712000, Gap: 7.0644e-02, 101/120, 15/100, 12.50
2025-02-16 21:09:28,341 Energy: -0.46420826, -0.56418092, -0.61134081, Gap: 6.8275e-02, 107/128, 16/100, 13.08
2025-02-16 21:09:29,011 Energy: -0.45617118, -0.55791408, -0.60637940, Gap: 7.4541e-02, 114/136, 17/100, 13.75
